Date,Shot,Time_Start,Time_End,Mean_Ratio,Mean_Bt_Axis,Mean_Bp_Max,Classification
240611,115,500,530,0.243674439044184,0.014844245015007,0.0651971398931054,Spheromak
240611,117,500,530,0.172046187016161,0.00491606818009302,0.0621017917568176,Spheromak
240611,118,500,530,0.111294043443127,0.000551442077136646,0.0658150303204622,Spheromak
240611,119,500,530,0.156990124198644,0.0039619151937223,0.061869416472198,Spheromak
240611,120,500,530,0.0802124674565437,-0.0027233052148586,0.0603114886829754,FRC
240611,121,500,530,0.10799867722967,0.00490809128231112,0.060002478896586,Spheromak
240611,122,500,530,0.211380695336133,-0.0148882143676118,0.0628659339257781,Spheromak
240611,123,500,530,0.0678273930631064,-0.0025478259761898,0.0598464467085458,FRC
240611,124,500,530,0.0372913079456519,-0.000860426862171928,0.0589624152040614,FRC
240611,125,500,530,0.139462351394918,-0.00976832680904267,0.0596560327489709,Spheromak
240611,126,500,530,0.162394628231212,-0.0103964474978045,0.0586668987005234,Spheromak
240611,127,500,530,0.127874223694729,-0.00825367655977013,0.0579439669721844,Spheromak
240611,128,500,530,0.321118249424726,-0.0200125396725117,0.0593242113701895,Spheromak
240611,129,500,530,0.182735753033381,-0.0114688173386907,0.0597413669980336,Spheromak
240611,130,500,530,0.13508925605903,-0.00889052727116273,0.0592023675379942,Spheromak
240611,131,500,530,0.33303424082522,-0.0195872087580759,0.0586983023827195,Spheromak
240611,132,500,530,0.264280287962839,-0.0167356238429466,0.0612362821579953,Spheromak
240611,133,500,530,0.127034302289153,0.0044216124332937,0.0615434368386484,Spheromak
240611,134,500,530,0.15505167592685,0.000516724438708874,0.0614901606920645,Spheromak
240611,135,500,530,0.34380590424144,0.0201710414404743,0.0599752514222634,Spheromak
240611,136,500,530,0.251029888322735,0.0113926874228813,0.0624085866930379,Spheromak
240611,137,500,530,0.149466335518337,-0.0103163194424064,0.0587665336508429,Spheromak
240611,138,500,530,0.107633385213383,-0.00722455184394769,0.0592110295746556,Spheromak
240611,139,500,530,0.21120043102666,-0.0129628772894496,0.0564722803464892,Spheromak
240611,141,500,530,0.124156704372757,0.00740496229420546,0.0643126107250256,Spheromak
250205,2,490,520,0.164653431599499,0.0107650426023042,0.0671653597798326,Spheromak
250205,5,490,520,0.355563707759971,0.0229373951114775,0.0657855831998359,Spheromak
250205,6,490,520,0.378582030715403,0.0240104749540706,0.0644083969747761,Spheromak
250205,7,490,520,0.425938340789654,0.026455580611189,0.0635253248712973,Spheromak
250205,9,490,520,0.234968991321662,0.0146759716998335,0.0633727510940174,Spheromak
250205,15,490,520,0.227624988533532,0.0142231133648076,0.0634255696199178,Spheromak
250205,16,490,520,0.173793648417313,0.0107758538422078,0.0632393497496729,Spheromak
250205,23,490,520,0.453357757338129,0.0292269517432877,0.0660941212627981,Spheromak
250205,24,490,520,0.386354661906415,0.0251530879687596,0.0664837844523098,Spheromak
250205,25,490,520,0.434531561350992,0.027683501543173,0.0649383304622225,Spheromak
250205,26,490,520,0.351853625078909,0.0226610061666858,0.0656526113363771,Spheromak
250205,27,490,520,0.355947116198965,0.0225921337977497,0.06504326385588,Spheromak
250205,28,490,520,0.334317995018343,0.0211023119793138,0.063920399500409,Spheromak
250205,29,490,520,0.381378748922797,0.0243580025892448,0.0655083877143214,Spheromak
250205,30,490,520,0.368738293710301,0.0236295397943766,0.0655996969105717,Spheromak
250205,31,490,520,0.316383552477229,0.0200460361685454,0.0644401722806434,Spheromak
250205,33,490,520,0.349075381275234,0.0214907151878408,0.0638505367018746,Spheromak
250205,34,490,520,0.305885862862073,0.0195600986105798,0.0652796135102865,Spheromak
250205,35,490,520,0.288549935677473,0.018289510942425,0.064993740137594,Spheromak
250205,36,490,520,0.314489567434682,0.0200318093868583,0.0655458013964316,Spheromak
250205,37,490,520,0.305151997724458,0.0188705013441527,0.0633074784639332,Spheromak
250205,38,490,520,0.29866823236629,0.0181895381593376,0.0631723891858911,Spheromak
250205,40,490,520,0.276185019133718,0.0177072189439723,0.0655369075492371,Spheromak
250205,41,490,520,0.274892505631025,0.0172590655597849,0.0645360166306843,Spheromak
250205,42,490,520,0.249952250895313,0.0162458884121672,0.066404234353703,Spheromak
250205,43,490,520,0.266776630261694,0.0166658104254019,0.0639975788333055,Spheromak
250205,44,490,520,0.246655581124722,0.0151165091905252,0.063253350446029,Spheromak
250205,45,490,520,0.271062602649454,0.01733816944795,0.0658876643114628,Spheromak
